Restaurant/Tapas Bar;Rating;Number of Reviews;Cuisine Type;Price Range;Tripadvisor Ranking;Location
Restaurante Coliceo 29;4.5;205;Mediterránea, Española;€€ - €€€;1.0;Calahorra
Mercadal 21;4.0;522;Mediterránea, Española;€€ - €€€;2.0;Calahorra
Casa Mateo;4.0;181;Mediterránea, Española;€€ - €€€;3.0;Calahorra
La Montanera;4.5;61;Mediterránea, Española;€;4.0;Calahorra
Restaurante El Albergue;4.0;107;Mediterránea, Española;€€ - €€€;5.0;Calahorra
Chef Nino;4.5;151;Mediterránea, Española;€€ - €€€;6.0;Calahorra
Asador Época;4.0;124;Mediterránea, Española;€€ - €€€;7.0;Calahorra
Brasería La Damajuana;4.0;36;Mediterránea, Española;€€€€;8.0;Calahorra
Restaurante El Silo;4.0;36;Mediterránea, Española;€;9.0;Calahorra
Restaurante Parador de Calahorra;3.5;138;Mediterránea, Española;€€ - €€€;10.0;Calahorra
Gastrobar CAPI;4.0;101;Mediterránea, Española;€€ - €€€;11.0;Calahorra
Pintxos Bohemia;4.5;65;Mediterránea, Española;€;12.0;Calahorra
Sabor.es;4.5;51;Mediterránea, Española;€;13.0;Calahorra
Hostal Gala - Café Restaurante;3.5;32;Mediterránea, Española;€€ - €€€;14.0;Calahorra
El Rincón Andaluz;4.0;37;Mediterránea, Española;€€ - €€€;15.0;Calahorra
Restaurante Chino Hong Kong;4.0;13;China, Asiática;€€ - €€€;16.0;Calahorra
La Comedia Restaurant Bar;4.0;53;Mediterránea, Española;€€ - €€€;17.0;Calahorra
Restaurante Bar La Viña;4.5;7;Mediterránea, Española;€€ - €€€;18.0;Calahorra
La Vuelta;4.0;13;Mediterránea, Española;€;19.0;Calahorra
Bar la Bodega;4.5;7;Mediterránea, Española;€€ - €€€;20.0;Calahorra
Como en Casa donde la Tomasa;3.0;36;Mediterránea, Española;€€ - €€€;21.0;Calahorra
Finca Tio Simón;4.5;8;Marisco, Mediterránea;€;22.0;Calahorra
Cafe Central;3.5;25;Mediterránea, Española;€€ - €€€;23.0;Calahorra
LA MAFIA SE SIENTA A LA MESA;3.5;65;Italiana, Pizza;€€ - €€€;24.0;Calahorra
Restaural;5.0;2;Mediterránea, Española;€€ - €€€;25.0;Calahorra
Cafetería El Tostadero;4.5;8;Desayuno;;26.0;Calahorra
Bar Las Vegas;4.0;13;Mediterránea, Española;;28.0;Calahorra
Montserrat 2.0;3.5;19;Mediterránea, Española;;29.0;Calahorra
Café Rioja;3.5;22;Bar, Española;;30.0;Calahorra
La Vieja Bodega;4.5;1137;Restaurante de carne, Mediterránea;€€€€;;Casalarreina
Asador Los Nietos;4.5;434;Restaurante de carne, Mediterránea;€€ - €€€;1.0;Briones
Los 4 Arcos;4.5;412;Restaurante de carne, Mediterránea;€€ - €€€;2.0;Briones
Allegar;5.0;35;Mediterránea, Española;€€€€;3.0;Briones
Restaurante Vivanco;4.0;179;Mediterránea, Española;€€ - €€€;4.0;Briones
Los Calaos;3.5;200;Europea, Española;€€ - €€€;5.0;Briones
Asador La Estación;4.0;15;Restaurante de carne, Mediterránea;€;6.0;Briones
Restaurante Briones;3.0;46;Mediterránea, Española;€;7.0;Briones
Tapas Bar Alto Ebro;3.5;8;Mediterránea, Española;;8.0;Briones
Bar La Canoa;4.0;1;Mediterránea, Española;;9.0;Briones
Bar Jubilado;4.0;1;Mediterránea, Española;;10.0;Briones
Abadia;3.0;8;Mediterránea, Española;;11.0;Briones
Calado Santa María Briones;0.0;0 opiniones;Mediterránea, Española;;12.0;Briones
Date Un Capricho En Briones;0.0;0 opiniones;Mediterránea, Española;;13.0;Briones
Asador El Buen Yantar;4.0;547;Mediterránea, Española;€;1.0;Nájera
Restaurante Olimpo;4.5;151;Mediterránea, Europea;€€ - €€€;2.0;Nájera
Restaurante El Trinquete;4.0;129;Mediterránea, Española;€€ - €€€;3.0;Nájera
La Mercería;4.0;233;Mediterránea, Española;€€ - €€€;4.0;Nájera
Royalty;4.0;56;Mediterránea, Española;€€ - €€€;5.0;Nájera
Cafe Pepe;5.0;9;Mediterránea, Española;€€ - €€€;6.0;Nájera
Bodegón La Judería;3.5;32;Mediterránea, Española;€€ - €€€;7.0;Nájera
Los Parrales;3.5;163;Mediterránea, Española;€€ - €€€;8.0;Nájera
Las Ocas;3.5;37;Mediterránea, Española;€;9.0;Nájera
Cafeteria Boffi;4.5;9;Mediterránea, Española;€€ - €€€;10.0;Nájera
Las Brujas;3.5;10;Mediterránea, Española;€€ - €€€;11.0;Nájera
Restaurante Cuna de Reyes;4.0;13;Mediterránea, Española;€€ - €€€;12.0;Nájera
Mesón Jamonero;4.0;2;Mediterránea, Española;€€ - €€€;13.0;Nájera
Bar Naxara;3.5;51;Mediterránea, Española;€;14.0;Nájera
Restaurante El Rey;3.5;16;Mediterránea, Española;€;15.0;Nájera
Cerveceria Kien;3.5;48;Mediterránea, Española;€€ - €€€;16.0;Nájera
La Pasarela;3.0;52;Italiana, Americana;;17.0;Nájera
Paseo 13;3.0;14;Mediterránea, Española;;18.0;Nájera
Panos;5.0;1;Mediterránea, Española;;19.0;Nájera
Restaurante Doti;3.5;2;Mediterránea, Española;;20.0;Nájera
Bar Franco 2;0.0;0 opiniones;Mediterránea, Española;;21.0;Nájera
Kingdom Bar;0.0;0 opiniones;Mediterránea, Española;;22.0;Nájera
Bar Pandora;0.0;0 opiniones;Mediterránea, Española;;24.0;Nájera
Bar Virginia;0.0;0 opiniones;Mediterránea, Española;;29.0;Nájera
Restaurante El Molino;4.5;27;Mediterránea, Española;€€ - €€€;1.0;San Millán
In Vino Veritas;4.0;122;Mediterránea, Española;€€ - €€€;2.0;San Millán
Asador San Millan;3.5;11;Mediterránea, Española;€;3.0;San Millán
Meson Las Glosas;3.0;139;Mediterránea, Española;€€ - €€€;4.0;San Millán
Restaurante El Molino;4.5;27;Mediterránea, Española;€€ - €€€;1.0;San Millán
In Vino Veritas;4.0;122;Mediterránea, Española;€€ - €€€;2.0;San Millán
Restaurante Los Caballeros;4.5;740;Restaurante de carne, Mediterránea;€€ - €€€;1.0;Santo Domingo
Hidalgo;4.0;470;Mediterránea, Española;€;2.0;Santo Domingo
Restaurante Casa Amparo;4.0;284;Mediterránea, Española;€;3.0;Santo Domingo
La Cancela;4.0;365;Mediterránea, Española;€€ - €€€;4.0;Santo Domingo
El Sarmiento Azul Mediterráneo;4.5;52;Restaurante de carne, Mediterránea;€€ - €€€;5.0;Santo Domingo
Restaurante Parador de Santo Domingo de la Calzada;4.0;254;Mediterránea, Española;€€ - €€€;6.0;Santo Domingo
La Strada;4.5;418;Mediterránea, Española;€€ - €€€;7.0;Santo Domingo
Brasería Gran Ferretería;3.5;238;Restaurante de carne, Mediterránea;€€ - €€€;8.0;Santo Domingo
Restaurante Cafetería Arcaya;4.0;136;Restaurante de carne, Española;€;9.0;Santo Domingo
Restaurante Bar Piedra;4.0;230;Mediterránea, Española;€€ - €€€;10.0;Santo Domingo
Nk Gipuzkoa;4.5;10;Mediterránea, Española;€€ - €€€;11.0;Santo Domingo
Cervecería Capota;3.5;203;Mediterránea, Española;€;12.0;Santo Domingo
Bar Echegoyen;4.0;14;Americana;€;13.0;Santo Domingo
La Gallina que canto;3.5;201;Mediterránea, Española;€;14.0;Santo Domingo
Bar-Restaurante El Marquesito;3.5;115;Mediterránea, Española;€€ - €€€;15.0;Santo Domingo
Cafe Miguel;3.5;38;Mediterránea, Europea;€;16.0;Santo Domingo
Bar La Calzada;3.5;3;Mediterránea, Española;€;18.0;Santo Domingo
Genesis;4.0;20;Mediterránea, Española;€;19.0;Santo Domingo
Cervecería Titanic;3.5;15;Mediterránea, Española;€€ - €€€;20.0;Santo Domingo
Cafeteria Eibarresa;3.5;15;Mediterránea, Española;€€ - €€€;21.0;Santo Domingo
Tu y Yo;3.5;43;Mediterránea, Española;;22.0;Santo Domingo
Bar La Catedral;4.0;1;Mediterránea, Española;;23.0;Santo Domingo
Bar La Rueda;3.5;12;Mediterránea, Española;;24.0;Santo Domingo
Café la Torre;4.0;2;Mediterránea, Española;;25.0;Santo Domingo
Bar Dados;2.5;23;Mediterránea, Española;;26.0;Santo Domingo
Cafeteria Espolon;2.0;46;Mediterránea, Española;;27.0;Santo Domingo
Gambrinus;3.0;49;Mediterránea, Española;;28.0;Santo Domingo
Café Bar Carmen;0.0;0 opiniones;Mediterránea, Española;;30.0;Santo Domingo
Restaurante Casa Masip;4.0;804;Mediterránea, Española;€€ - €€€;1.0;Ezcaray
Restaurante Asador La Antigua Ferreria;4.5;226;Mediterránea, Española;€€ - €€€;2.0;Ezcaray
Echaurren Tradición;4.0;953;Mediterránea, Española;€€€€;3.0;Ezcaray
Restaurante el Rincon del Vino de Ezcaray;4.0;370;Mediterránea, Europea;€€ - €€€;4.0;Ezcaray
Restaurante El Portal del Echaurren;4.5;481;Mediterránea, Europea;€€€€;5.0;Ezcaray
EL CUARTITO de Echaurren;4.0;228;Mediterránea, Europea;€€ - €€€;6.0;Ezcaray
Bar Roypa;4.0;221;Mediterránea, Española;€;7.0;Ezcaray
Bar Restaurante Lladito;4.0;117;Mediterránea, Española;€€ - €€€;8.0;Ezcaray
La Estacion;3.5;123;Mediterránea, Española;€€ - €€€;9.0;Ezcaray
Restaurante Cerveceria El Refugio;3.5;88;Mediterránea, Española;€€ - €€€;10.0;Ezcaray
Pizzeria Fuoli;4.0;43;Italiana, Pizza;€;11.0;Ezcaray
Bar Satorre;4.5;15;Mediterránea, Española;€€ - €€€;12.0;Ezcaray
Jamon Jamon;4.0;43;Mediterránea, Española;€€ - €€€;13.0;Ezcaray
Restaurante Usaya;4.0;14;Mediterránea, Española;€€ - €€€;14.0;Ezcaray
E-Tapas Gastrobar;4.0;35;Mediterránea, Española;€€ - €€€;15.0;Ezcaray
Cervecería Deyan;3.5;37;Mediterránea, Española;€;16.0;Ezcaray
Asador Usaya;4.0;13;Mediterránea, Española;€€ - €€€;17.0;Ezcaray
Restaurante El Meson;2.5;286;Mediterránea, Española;€;18.0;Ezcaray
Iguareña;3.0;14;Mediterránea, Española;€;19.0;Ezcaray
Meson Allende;3.0;26;Mediterránea, Española;€;20.0;Ezcaray
Bar Lorca;4.0;8;Mediterránea, Española;;21.0;Ezcaray
Bar La Taberna;4.5;2;Mediterránea, Española;;22.0;Ezcaray
Bar Novelty;2.5;58;Mediterránea, Española;;23.0;Ezcaray
Restaurante Cines Allende;3.0;9;Mediterránea, Española;;24.0;Ezcaray
El Mesón;2.5;286;Mediterránea, Española;;25.0;Ezcaray
Restaurante El Jarrero;4.5;674;Restaurante de carne, Mediterránea;€€ - €€€;1.0;Haro
Restaurante Alboroque;5.0;130;Mediterránea, Europea;€€ - €€€;2.0;Haro
Restaurante Terete;4.0;1386;Restaurante de carne, Mediterránea;€€ - €€€;3.0;Haro
Restaurante Los Berones;4.5;150;Europea, Española;€;4.0;Haro
El Rincon Del Noble;4.5;403;Mediterránea, Europea;€€ - €€€;5.0;Haro
Nublo Restaurant;4.5;124;Mediterránea, Española;€€€€;6.0;Haro
Beethoven;4.0;940;Mediterránea, Europea;€€ - €€€;7.0;Haro
Arrope;4.0;487;Mediterránea, Europea;€€ - €€€;8.0;Haro
El Claustro de los Agustinos;4.0;156;Mediterránea, Europea;€€ - €€€;9.0;Haro
Los Caños Restaurante;4.0;35;Mediterránea, Española;€€ - €€€;10.0;Haro
El Remolino;4.0;56;Mediterránea, Española;€;11.0;Haro
Restaurante Gastrobar Sabai;4.5;17;Española, Asiática;€€€€;12.0;Haro
Asador Beethoven;4.0;141;Restaurante de carne, Española;€€ - €€€;13.0;Haro
Rinconcito de Cai;4.5;50;Mediterránea, Española;€;14.0;Haro
Bar La Esquina;4.0;177;Mediterránea, Española;€;15.0;Haro
Bar Benigno;4.0;109;Mediterránea, Española;€;16.0;Haro
Bar Restaurante Vega;3.5;186;Mediterránea, Europea;€€ - €€€;17.0;Haro
Cafetería Nido;5.0;19;Mediterránea, Europea;€;18.0;Haro
El Antojo Del Gallo;4.0;69;Mediterránea, Española;€;19.0;Haro
Popy's;3.5;93;Pizza, Mediterránea;€€ - €€€;20.0;Haro
Restaurante Las Cigüenas;3.5;94;Mediterránea, Española;€€ - €€€;21.0;Haro
Siglo de Oro;4.5;44;China, Asiática;€€ - €€€;22.0;Haro
Cafe El Sol;3.5;67;Mediterránea, Española;€€ - €€€;23.0;Haro
Taberna Urdai;4.0;23;Mediterránea, Española;€€ - €€€;24.0;Haro
Bar la Pista 2.0;4.5;11;Mediterránea, Española;€€ - €€€;25.0;Haro
Chamonix;3.0;347;Mediterránea, Española;€;26.0;Haro
Asador Cervecería Tirondoa;3.0;75;Mediterránea, Española;€€ - €€€;27.0;Haro
Bar Obarenes;3.0;126;Mediterránea, Española;€;28.0;Haro
Restaurante Risqueno;3.0;70;Mediterránea, Española;€€ - €€€;29.0;Haro
El Huerto;4.0;6;Mediterránea, Española;;30.0;Haro
Bar Talia;4.0;11;Mediterránea, Española;€;31.0;Haro
Asador Tinto;3.0;96;Restaurante de carne, Española;€€ - €€€;32.0;Haro
Harmony;4.5;7;Mediterránea, Española;€€ - €€€;33.0;Haro
Café Suizo;2.0;58;Mediterránea, Española;€;34.0;Haro
Café-Bar El Cedro;4.5;9;Mediterránea, Española;€;36.0;Haro
Kaya;3.5;65;Mediterránea, Española;;37.0;Haro
Bar Bremen;4.0;8;Mediterránea, Española;;38.0;Haro
El Pasadizo;3.0;58;Mediterránea, Española;;39.0;Haro
Bar-Café El Arranque;4.5;3;Mediterránea, Española;;41.0;Haro
The Folk Tavern;3.5;3;Inglesa, Europea;;42.0;Haro
Bar Talía Haro;4.0;11;Mediterránea, Española;;43.0;Haro
La Geria;1.0;1;Mediterránea, Española;;44.0;Haro
Cafe Epoca;2.0;13;Mediterránea, Española;;45.0;Haro
Tempranillo Y Maguey (t&m);0.0;0 opiniones;Restaurante de carne, Española;;47.0;Haro
Asador Doña Petra;0.0;0 opiniones;Restaurante de carne, Española;;48.0;Haro
Cerveceria Chamonix;0.0;0 opiniones;Mediterránea, Española;;49.0;Haro
Jamonero - Madrid Tapas;0.0;0 opiniones;Mediterránea, Española;;50.0;Haro
Estambul Kebabharo;0.0;0 opiniones;Turca, De Oriente Medio;;51.0;Haro
Kebab Plaza;0.0;0 opiniones;Turca, De Oriente Medio;;52.0;Haro
Cafe Bar Scooby;0.0;0 opiniones;Mediterránea, Española;;53.0;Haro
Teorema Pub;0.0;0 opiniones;Mediterránea, Española;;54.0;Haro
Bar Pirolo;0.0;0 opiniones;Mediterránea, Española;;57.0;Haro
Cafe Liceo;0.0;0 opiniones;Mediterránea, Española;;59.0;Haro
Da Marcos;4.5;268;Mediterránea, Española;€€ - €€€;31.0;Logroño
El Comienzo Restaurante;4.5;94;Mediterránea, Española;€€ - €€€;32.0;Logroño
Bokoto Logroño;4.5;58;Japonesa, Sushi;€€€€;33.0;Logroño
Sibuya Urban Sushi Bar Logroño;4.5;463;Japonesa, Sushi;€€ - €€€;34.0;Logroño
Perretxico Logroño;4.0;91;Mediterránea, Europea;€€ - €€€;35.0;Logroño
Restaurante Tahiti;4.5;307;Europea, Española;€€ - €€€;36.0;Logroño
Emociones en Boca;4.5;344;Mediterránea, Europea;€€ - €€€;37.0;Logroño
La Quisquillosa;4.5;409;Restaurante de carne, Mediterránea;€€ - €€€;38.0;Logroño
La Galeria;4.5;265;Mediterránea, Europea;€€€€;39.0;Logroño
Restaurante Karachi;5.0;63;De Oriente Medio, Pakistani;€€ - €€€;40.0;Logroño
Pasion Por Ti;4.5;1683;Mediterránea, Europea;€€ - €€€;41.0;Logroño
Pan y vino;4.0;172;Restaurante de carne, Mediterránea;€€ - €€€;42.0;Logroño
Meson Antonio;4.0;69;Mediterránea, Española;€;43.0;Logroño
La Taberna de Baco;4.5;248;Mediterránea, Española;€€ - €€€;44.0;Logroño
Letras de Laurel;4.5;863;Mediterránea, Europea;€€ - €€€;45.0;Logroño
Aitor Esnal Restaurante;4.5;78;Mediterránea, Europea;€€€€;46.0;Logroño
El Patio De Marce;5.0;12;Latina, Española;€€€€;47.0;Logroño
La Pizza Boluda;4.5;47;Italiana, Pizza;€;48.0;Logroño
Restaurante Delicatto;4.5;120;Mediterránea, Española;€€€€;49.0;Logroño
Carbonera Taberna;4.0;75;Mediterránea, Española;€€ - €€€;50.0;Logroño
La Despensa Del Marques;4.5;289;Mediterránea, Española;€€ - €€€;51.0;Logroño
Moderna Tradición;4.5;284;Mediterránea, Europea;€€ - €€€;52.0;Logroño
Ebisu Tradicional Bar-Restaurante;4.0;79;Mediterránea, Española;€;53.0;Logroño
En las Nubes Restobar;3.5;166;Mediterránea, Europea;€€ - €€€;55.0;Logroño
Cafeteria-Restaurante Claret;5.0;75;Mediterránea, Europea;€;56.0;Logroño
Bistro Mr Griego;4.0;19;Mediterránea, Europea;€€ - €€€;57.0;Logroño
Restaurante La Chula;4.0;362;Mediterránea, Europea;€€ - €€€;58.0;Logroño
Cristal Cafeteria Restaurante;4.5;52;Mediterránea, Española;€€ - €€€;59.0;Logroño
Miyako;4.0;95;Japonesa, Sushi;€€ - €€€;60.0;Logroño
La Tavina;4.0;665;Mediterránea, Española;€€ - €€€;;Logroño
Tolmay;3.5;84;Mediterránea, Española;€€ - €€€;151.0;Logroño
La Rosaleda 1946;3.5;26;Mediterránea, Europea;€€ - €€€;152.0;Logroño
A Tu Gusto Logrono;4.0;105;Mediterránea, Europea;€€ - €€€;153.0;Logroño
Ribera;4.5;103;Mediterránea, Europea;€€ - €€€;154.0;Logroño
Asador El Muro;3.5;177;Mediterránea, Europea;€€ - €€€;155.0;Logroño
Canela;3.5;63;Mediterránea, Europea;€€ - €€€;156.0;Logroño
Bar Sebas;4.0;165;Mediterránea, Española;€;157.0;Logroño
La Bodeguilla Gutierrez;4.0;14;Mediterránea, Española;€;158.0;Logroño
Bococa;3.5;199;Americana, Bar;€€ - €€€;159.0;Logroño
Meson Restaurante El Charro;3.5;16;Restaurante de carne, Española;€;160.0;Logroño
La Casita Mesón-Bar;4.0;81;Mediterránea, Española;€€ - €€€;161.0;Logroño
Trattoria Pizza Pasta E Basta S.coop.;3.5;121;Italiana, Mediterránea;€€ - €€€;162.0;Logroño
Juanlobo;3.5;82;Mediterránea, Española;€€ - €€€;163.0;Logroño
Restaurante Malvasía;4.0;21;Mediterránea, Española;€€ - €€€;164.0;Logroño
Barriobar;4.5;25;Mediterránea, Española;€;165.0;Logroño
Timber Café;4.0;9;Mediterránea, Española;€€€€;166.0;Logroño
La Pepita Burger Bar;3.5;88;Americana;€€ - €€€;167.0;Logroño
Mesón Jabugo;4.0;43;Mediterránea, Española;€€ - €€€;168.0;Logroño
Cafe Cervantes;4.5;33;Mediterránea, Española;€;169.0;Logroño
Berty´s Burger Logroño;4.5;15;Americana;€€ - €€€;170.0;Logroño
Restaurante Tívoli;3.5;96;Mediterránea, Española;€€ - €€€;171.0;Logroño
Tal Cual;3.0;82;Mediterránea, Española;€;172.0;Logroño
Bad Food Bar;4.5;108;Americana;€;173.0;Logroño
Sport Tavern;3.5;45;Comida rápida, Española;€€ - €€€;174.0;Logroño
Restaurante Casa Victor;3.0;72;Mediterránea, Española;€;175.0;Logroño
Divina Croqueta;4.5;27;Mediterránea, Española;€;176.0;Logroño
Tenessis;4.5;41;Mediterránea, Española;€;177.0;Logroño
La Cantina;4.5;14;Mediterránea, Española;€€ - €€€;178.0;Logroño
Restaurante Japones Yoshi;4.0;22;Japonesa, Sushi;€€ - €€€;179.0;Logroño
Vinissimo;4.5;57;Japonesa, Sushi;;180.0;Logroño
Restaurante Sojuela;4.0;23;Mediterránea, Española;€€ - €€€;181.0;Logroño
El canalla;4.0;127;Mediterránea, Española;€€ - €€€;182.0;Logroño
Don Sancho;4.5;7;Mediterránea, Española;€€ - €€€;183.0;Logroño
El Palio;4.0;5;Mediterránea, Española;€€ - €€€;184.0;Logroño
Restaurante/Cafeteria Sol Nordico;4.0;5;China, Japonesa;€€ - €€€;185.0;Logroño
Atiborre;3.5;15;Internacional, Mediterránea;€€ - €€€;186.0;Logroño
MaryViña;4.0;16;Mediterránea, Española;€;187.0;Logroño
Cerveceria Marisqueria Alina's;3.5;29;Mediterránea, Española;€€ - €€€;188.0;Logroño
Bar Páganos;4.0;157;Mediterránea, Española;€€ - €€€;189.0;Logroño
Casablanca Café Pub;4.0;9;Mediterránea, Española;€;190.0;Logroño
Terra Nostra II;4.0;32;Italiana, Pizza;€€ - €€€;191.0;Logroño
Ramen Shifu;4.5;3;Japonesa;€€ - €€€;192.0;Logroño
El Mirador;3.5;39;Mediterránea, Española;€€ - €€€;193.0;Logroño
Malabar;3.5;62;Mediterránea, Española;€;194.0;Logroño
Chic Chic Chicken;4.0;53;Española, Venezolana;€;196.0;Logroño
Restaurante Serenella;3.5;53;Mediterránea, Española;€€ - €€€;197.0;Logroño
Urcey Cafeteria Restaurante;4.0;21;Mediterránea, Española;€€ - €€€;198.0;Logroño
Los Rotos San Juan;3.0;55;Mediterránea, Española;€€ - €€€;199.0;Logroño
Roots;4.0;16;Mediterránea, Española;€;200.0;Logroño
Pulpería La Universidad;4.0;192;Mediterránea, Española;€;201.0;Logroño
Asador Eduardo;4.0;68;Restaurante de carne, Española;€;202.0;Logroño
Cervecerías La Mejillonera;3.5;22;Mediterránea, Española;€;203.0;Logroño
La cueva de Floren;3.5;51;Mediterránea, Española;€€ - €€€;205.0;Logroño
La Guarida Del Carmen;4.5;15;Mediterránea, Española;€;206.0;Logroño
Porto Vecchio;3.5;94;Mediterránea, Española;;207.0;Logroño
Bar Charly;4.0;24;Mediterránea, Española;;208.0;Logroño
Café Pub Lorca;5.0;12;Mediterránea, Española;;209.0;Logroño
Taberna de Correos;3.5;143;Mediterránea, Española;;210.0;Logroño
Bar Robi;4.5;14;Mediterránea, Española;€;241.0;Logroño
Sultàn's Gemüse Kebab;5.0;5;Turca, De Oriente Medio;€;242.0;Logroño
Burgerheim;3.5;18;Americana;€€ - €€€;243.0;Logroño
La Tortilla del Albergue;3.5;34;Mediterránea, Española;€;244.0;Logroño
Orpas;4.0;15;Mediterránea, Española;€€€€;245.0;Logroño
Sushisom Logroño;3.0;10;Japonesa, Sushi;€€ - €€€;246.0;Logroño
Restaurante El Embarcadero;2.0;81;Mediterránea, Española;€€ - €€€;247.0;Logroño
Restaurante Chino Hong Fa;3.0;7;Marisco, Mediterránea;€;249.0;Logroño
Florentino Principe de Vergara;4.0;27;China, Asiática;€€ - €€€;250.0;Logroño
La Isla Café Bar;4.0;5;Mediterránea, Española;€€ - €€€;251.0;Logroño
El Rincón De Julio;2.5;112;Mediterránea, Española;€;252.0;Logroño
La Rua Brewery;3.5;22;Americana;€€ - €€€;253.0;Logroño
El Retorno;5.0;5;Mediterránea, Española;€;254.0;Logroño
Restaurantes Piqueras;4.0;7;Mediterránea, Española;€;255.0;Logroño
Más que Miga;4.5;6;Mediterránea, Española;€;256.0;Logroño
El Tirador;4.5;11;Mediterránea, Española;€;257.0;Logroño
Aqui Me Quedo;4.0;17;Mediterránea, Española;€;258.0;Logroño
Café Kiosco La Fundación;4.0;10;Mediterránea, Española;€€ - €€€;259.0;Logroño
Sarsof Quick;5.0;3;Americana;€;260.0;Logroño
De Bellota;4.0;39;Mediterránea, Española;€;261.0;Logroño
Cervecería St Patrick's (Covent Garden Catedral);3.5;15;Americana, Irlandesa;;262.0;Logroño
Mesón Rocío;3.0;18;Mediterránea, Española;;263.0;Logroño
Tortilleria La Concordia;5.0;1;Mediterránea, Española;;264.0;Logroño
Cyaboga;5.0;7;Mediterránea, Española;;265.0;Logroño
Cafetería Noche y Día;3.0;74;Mediterránea, Española;;266.0;Logroño
Entretapas 941;3.5;30;Mediterránea, Española;;268.0;Logroño
Bar La Ruta;4.0;16;Mediterránea, Española;;269.0;Logroño
Bowie’s Meal House Logroño;3.0;23;Americana;;270.0;Logroño
Bodegón Papeo 2;3.0;14;Mediterránea, Española;€;271.0;Logroño
Is Ramen;5.0;1;Japonesa;€;272.0;Logroño
La Rúa del Laurel;3.5;13;Mediterránea, Española;€€ - €€€;273.0;Logroño
Beitia Pinchos & Tapas;4.5;13;Mediterránea, Española;€€ - €€€;274.0;Logroño
La Pausa;2.0;60;Mediterránea, Española;€€ - €€€;275.0;Logroño
Carneval;3.0;9;Americana;€;276.0;Logroño
Tierra Lara;2.5;113;Pizza, Mediterránea;€€ - €€€;277.0;Logroño
Venue;4.0;21;Mediterránea, Española;€€ - €€€;278.0;Logroño
Chino Casa de la Alegria;3.0;10;China, Asiática;€;279.0;Logroño
Hotel Zenit Logroño;3.0;25;Mediterránea, Española;€;281.0;Logroño
Goiko;3.0;73;Americana;€;282.0;Logroño
London Kebab;2.5;17;Turca, Pakistaní;€;283.0;Logroño
La Hipica de Logroño;2.5;20;Mediterránea, Española;€;284.0;Logroño
Bar La Gloria;5.0;1;Dominicana;€€ - €€€;285.0;Logroño
La Hez;4.5;20;Mediterránea, Española;€;287.0;Logroño
Taberna de Portales;2.0;147;Bares y pubMediterránea, Españolas, Caribeña;€€ - €€€;288.0;Logroño
Restaurante Las Vias;0.0;0 opiniones;Mediterránea, Española;€€ - €€€;290.0;Logroño
Terraza Edelweiss Sl;5.0;1;Mediterránea, Española;;291.0;Logroño
Cakao, Canela, Crema;3.0;36;Mediterránea, Española;;292.0;Logroño
Paris on Wheels;4.0;14;Comida rápida;;293.0;Logroño
