ano;trimestre;gmp_Hombres;gmp_Mujeres;gasto_total_Hombres;gasto_total_Mujeres;excursiones_Hombres;excursiones_Mujeres;Viajeros_edad_15-19;Duración media viaje_edad_15-19;Viajeros_edad_20-24;Duración media de los viajeros_20-24;Viajeros_edad_25-29;Duración media de los viajeros_25-29;Viajeros_edad_30-34;Duración media de los viajeros_30-34;Viajeros_edad_35-39;Duración media de los viajeros_35-39;Viajeeos_edad_40-44;Duración media de los viajeros_40-44;Viajeros_edad_45-49;Duración media de los viajeros_45-49;Viajeros_edad_50-54;Duración media de los viajeros_50-54;Viajeros_edad_55-59;Duración media de los viajeros_55-59;Viajeros_edad_60-64;Duración media de los viajeros_60-64;Viajeros_edad_65-69;Duración media de los viajeros_65-69;Viajeros_edad_70-74;Duración media de los viajeros_70-74;Viajeros_edad_75-79;Duración media de los viajeros_75-79;Viajeros_edad_80-84;Duración media de los viajeros_80-84;Viajeros_edad_85_mas;Duración media de los viajeros_85_mas;Educación primaria o inferior;Educación secundaria primera etapa;Educación secundaria segunda etapa;Educación superior;Educación Desconocido;Duración media de los viajeros_Residentes Rioja;Duración media de los viajeros_ Resto de CCAA;Duración media de los viajeros_Hombres;Duración media de los viajeros_Mujeres
2021;4;40,93;36,93;10238977,37;8948396,04;250181;242309;930;2;3494;2;3581;2,8;4794;5,22;15951;3,07;65188;2,22;40439;1,92;14435;2,18;44063;2,48;35858;3,1;50597;2,23;13770;2,95;6644;10,03;1809;17,74;6682;4;70776;67569;54483;115408;;3,5;2,55;2,72;2,77
2021;3;35,77;41,93;4881466,18;9293575,74;136464;221626;25857;3,57;13884;1,26;18633;3,16;19436;2,03;38323;4,53;50730;7,85;52001;5,74;67308;4,11;54956;3,5;44099;4,21;29143;9,21;15849;5,61;5635;6,92;1987;97;6320;13,84;99921;102946;89723;151429;143;3,03;5,99;4,58;6,69
2021;2;35,52;35,5;10099862,53;6547520,53;284346;184431;6196;2,3;10744;1;6070;1,13;15664;1,69;39746;2,06;23258;1,76;23629;1,76;17973;1,88;68963;1,57;15719;3,36;26621;2,13;8576;3,22;7692;3,14;1038;13,25;;;73739;59784;27987;110204;175;1,81;2,07;1,76;2,3
2021;1;34,32;36,32;4510653,19;4777267,97;131418;131537;2078;3,16;5866;1,77;2127;1;9857;1,85;7221;3,41;6418;1,63;3332;4,08;3748;1,78;6320;1,85;2834;1,84;6688;1,81;2828;5,81;5373;1,18;;;;;31818;10629;6754;15489;;2,13;2,44;2,21;2,26
2020;4;36,75;27,91;5823136,47;3878447,06;158447;138960;577;2;12623;1,31;8224;6,59;8466;1,61;12901;1,12;9095;3,71;15143;1,1;4868;1,71;9624;1,49;2051;2,53;7252;6,64;744;2,55;6773;1,37;3575;38,05;183;4;22330;31848;9913;38006;;2,95;3,97;3,1;4,26
2020;3;32,04;30,37;8135720,03;6909850,95;253927;227520;13302;9,76;15153;2,32;13764;3,24;41530;3,1;17341;8,53;36987;5,42;44514;8,06;47331;4,51;51931;3,34;14542;5,76;30998;9,53;19758;12,24;3777;20,44;;;314;104;81982;54319;92622;122318;;6,41;6,09;5,56;6,6
2020;2;37,64;32,66;5254454,78;3620591,92;139607;110841;3042;1,18;15959;1,79;4141;2;1631;2;3644;2;11186;2,3;1633;1,5;22347;1,7;7618;2,38;2708;3,84;320;1;1346;2;478;2;;;;;34331;5226;4586;31911;;1,98;1,96;1,7;2,26
2020;1;35,75;34,19;6921939,08;5023949,8;193600;146935;8208;2,09;44491;1,92;10847;1,43;24966;1,7;26609;2,02;34285;2,57;6485;2,94;26542;1,68;27775;1,45;7503;1,96;7302;3,64;1733;1,83;3209;2,47;;;11438;7,82;90385;39576;19302;87742;4387;1,57;2,44;2,06;2,67
2019;4;52,28;40,98;11833585,6;8154442,77;226334;198978;10346;1,68;51183;1,78;21281;2,1;22059;3,44;30061;2,26;20839;1,95;17970;2,12;27656;1,55;25289;1,68;13627;1,99;12862;5,1;19282;3,4;8853;7,27;5991;2,98;;;84285;70771;28403;103841;;2,65;2,38;1,99;2,95
2019;3;35,86;35,82;8523884,77;5432016,23;237697;151649;17235;4,37;26247;2,51;5710;1,53;45021;1,86;29118;2,89;44784;2,67;39418;3,52;80343;2,41;38241;7,49;25679;4,74;27426;19,91;17048;6,75;;;10359;34,72;3004;1,68;103929;80681;58344;161797;4882;3,85;5,72;4,47;6,17
2019;2;37,23;39;6841164,37;8002512,01;183777;205178;26895;3,36;6957;2,48;28119;1,66;31013;1,96;50740;2,59;48316;2,04;41565;2,74;56247;2,31;20843;1,71;14468;3,32;31937;3,69;20239;4,75;11281;5,07;7329;2,26;1278;1;131348;56719;53865;148664;6632;2,4;2,75;2,98;2,35
2019;1;36,76;36,54;7427372,72;4564629,04;202042;124926;15483;1;34350;1,79;47036;2,48;19320;1,64;29608;1,89;21861;2,1;23364;2,65;41384;1,78;37893;2,45;10545;1,78;9774;2,53;6588;2,19;5592;5,43;2485;5,69;429;2;70707;70107;50884;106013;8003;1,92;2,22;2,26;2,01
2018;4;38,43;38;8855107,63;6892562,76;230404;181363;7494;2,53;5888;1,43;13039;1,62;39437;6,51;9929;2,13;49056;1,97;33101;2;31369;1,51;76941;2,72;15140;4,26;8569;3,56;20020;2,53;8325;2,22;8003;2,15;;;81453;87378;28011;129037;432;2,42;2,98;2,12;3,5
2018;3;34,42;36,14;7847796,43;7041814,82;228015;194855;18940;14,41;12177;2,06;34017;3,42;45472;1,88;11142;4,31;41229;3,63;66736;4,26;68005;2,66;47786;3,15;37794;2,92;22101;10,43;7179;8,46;11913;27,5;11029;18,62;;;108299;97120;72239;153842;4021;3,41;5,79;3,25;7,36
2018;2;42,91;35,35;10195900,99;7434089,4;237594;210309;29481;2,06;15281;2,71;1677;1;21281;1,88;19307;3,87;27464;2,92;88202;1,9;41855;1,87;47677;2,4;16164;2,28;15333;2,44;30808;4,63;2364;4,96;;;2963;1,44;96141;95351;59051;93660;15654;1,85;2,73;2,39;2,59
2018;1;39,46;40,15;10262353,97;5577103,43;260059;138907;4079;2,8;4432;2;37248;2,24;20729;2,01;9471;1,81;39072;2,12;26885;1,76;18341;2,75;33446;2,39;9902;1,79;15325;2,86;13182;3,06;2068;6,48;3518;2,76;2326;5,3;63760;52633;33996;89635;;1,82;2,58;2,32;2,35
2017;4;39,87;37,1;10369757,73;7867710,12;260114;212078;1050;1;4563;2;104120;2,3;27232;4,5;24081;2,1;22683;1,92;47384;2,1;52401;3,02;26925;3,3;26567;4,49;6351;1,61;8798;1,86;4138;1,21;3694;2;170;2;89828;40104;126097;103708;419;2,31;2,8;2,54;2,79
2017;3;37,35;34,51;11650883,15;7297738,75;311907;211478;24728;12,89;36496;4,34;23375;1,78;78514;2,72;24347;3,7;26853;4,87;53518;3,61;38699;2,58;43166;3,57;87745;4,07;23164;12,95;5377;1,21;7877;15,27;412;2;1109;18,3;178790;96745;68435;125170;6237;2,89;5,24;3,77;5,5
2017;2;41,03;34,62;11690652,9;6033014,36;284903;174246;28004;1,69;14170;2,23;16407;2,76;41242;3,22;27230;2,39;39365;2,47;50708;2,21;22062;2,36;50112;2,67;39431;2,12;21115;3,29;16477;1,97;6621;2,28;1111;3,58;2133;2,9;98406;77598;71308;127910;966;1,67;2,87;2,23;2,79
2017;1;36,38;40,01;9856484,64;9018912,99;270935;225391;3302;1;17131;1,63;22354;1,86;24462;2,01;11872;2,25;23056;2,16;20730;1,99;30384;2,38;45784;1,89;12005;1,94;13497;1,97;9784;4,04;1363;3;2908;1,22;646;6,95;63804;38314;34881;102279;;1,85;2,22;1,77;2,32
2016;4;36,92;35,52;9732421,96;5672491,76;263602;159680;1330;2;5027;1;15707;2,08;28651;3,15;29740;3,15;41090;2,37;27841;3,07;32583;1,92;30581;1,64;35123;3,06;18970;2,59;6023;7,69;12996;3,1;;;159;2;101795;35272;18306;125046;5400;2,02;2,98;2,81;2,5
2016;3;39,15;31,03;10081929,43;4741527,58;257544;152805;739;38;50202;4,42;19781;2,58;21659;2,2;36873;3,38;37550;6,39;33799;4,98;40830;4,37;30595;4,77;38624;5,29;14662;3,26;15948;11,75;9351;10,19;1290;2,86;853;39,44;54077;87952;51715;158375;637;5,05;5,04;5,22;4,94
2016;2;35,41;36,82;8049543,98;7284351,91;227302;197832;1501;1,82;13838;1,92;16001;2,43;20386;2,19;18852;1,82;35065;1,77;21689;2,3;26166;1,77;18226;2,22;41963;3,96;21378;3,03;61642;2,31;3820;1,45;2837;1,55;5860;5,86;113755;57613;28474;104849;4531;2,02;2,66;2,26;2,67
2016;1;36,04;34,9;9152616,48;6118491,85;253939;175309;11725;2,24;7637;1,69;13918;2,02;39283;2,82;18543;2,79;33697;2,46;31845;3,08;16663;3,63;32465;1,89;45885;2,22;21609;3,26;11818;2,61;5622;1,49;4046;7,38;;;73296;64291;37994;118442;733;2,37;2,7;2,47;2,79
