actividad,num_resenas,valoracion,categoria
Arizcuren Bodega & Viñedos,156,5.0,
Bodega Conde de los Andes,254,5.0,
Pozas de Aguas Termales de Arnedillo,186,4.0,
Calle San Juan,335,4.5,
Cueva de los Cien Pilares,92,4.5,
Monasterio de Santa Maria La Real,360,4.5,
CVNE Vino,553,4.5,
Bodegas David Moreno,345,4.5,
"Bodegas Ontañón, El Templo del Vino",243,4.5,
San Millan Suso Monastery,446,4.0,
Bodegas Vina Ijalba S.A.,155,5.0,
Bodegas Ramon Bilbao,299,4.0,
Museo de la Rioja,244,4.5,
Concatedral de Santa Maria de la Redonda,640,4.0,
Bodegas Marqués De Cáceres,138,4.5,
Iglesia Santa Maria la Mayor,47,4.5,Churches & Cathedrals
Bodegas Olarra,60,4.5,Wineries & Vineyards
Jardín Botánico de La Rioja,33,5.0,Gardens
Bodega Finca Valpiedra,83,4.5,Wineries & Vineyards
Miguel Merino Winery,63,5.0,Wineries & Vineyards
Centro Comercial Berceo.,32,4.0,Shopping Malls
Bodegas Finca La Emperatriz,98,5.0,Wineries & Vineyards
Mercado de San Blas,105,3.5,Shopping Malls
Bodegas Valenciso,128,5.0,Wineries & Vineyards
Ermita de San Felices de Bilibio,54,4.5,Religious Sites
Bodegas Valentin Pascual,86,5.0,Wineries & Vineyards
Calle Portales,43,4.5,Points of Interest & Landmarks
La Casa Encantada,65,4.0,Speciality Museums
Bodegas Marques de Vargas,20,4.5,Wineries & Vineyards
Iglesia de Santiago el Real,111,4.0,Churches & Cathedrals
Catedral de Santa Maria,97,4.0,Churches & Cathedrals
Castillo de Cuzcurrita Wine Cellar,39,4.5,Wineries & Vineyards
Pantano de La Grajera,19,4.5,Bodies of Water
Aqualar,7,3.5,Water Parks
Centro de Interpretacion Paleontologica de La Rioja,57,4.0,Science Museums
Monasterio de Nuestra Senora de la Piedad,72,4.5,Religious Sites
Bodegas LAN,46,5.0,Wineries & Vineyards
Castillo De San Vicente,64,4.5,Castles
Fabrica De Harinas La Gloria,22,5.0,Speciality Museums
Centro historico de Haro,28,4.0,Points of Interest & Landmarks
Bodegas Montecillo,28,4.5,Wineries & Vineyards
Tobelos Bodegas y Vinedos,24,5.0,Wineries & Vineyards
Iglesia de Nuestra Senora de la Asuncion,76,4.5,Churches & Cathedrals
El Cubo de Revellin,114,4.0,Ancient Ruins
Ermita de Allende,29,4.5,Churches & Cathedrals
Bodega Viña Real,109,4.5,
Parque Natural Sierra Cebollera,133,4.5,
Cathedral of Santo Domingo de la Calzada,311,4.5,
Bodegas Martinez Lacuesta,142,4.5,
La Bodega del Tesoro,64,5.0,
Bohedal Bodega Boutique,268,5.0,
Altanza,133,5.0,
Mirador de las Ciguenas,143,4.5,
Bodegas Riojanas,173,4.5,
Bodegas Roda,163,4.5,
Catedral de El Salvador de Santo Domingo de la Calzada,221,4.5,
Bodegas Urbina,174,5.0,
Bodegas Faustino Rivero Ulecia,31,5.0,
Iglesia de San Bartolome,274,4.5,
Bodega Hacienda Lopez de Haro,41,5.0,
Bodegas TIHOM,17,5.0,
Paseo del Espolon,213,4.0,
El Barranco Perdido,187,3.0,
Bodegas Beronia,72,4.5,
Iglesia Nuestra Senora de la Asuncion,62,5.0,
Casa de Las Ciencias,165,4.0,
Arnedo Shopping Factory,7,3.5,
Church of Santo Tomas,132,4.5,
Parque del Ebro,117,4.5,
Cuevas de Ortigosa de Cameros,91,4.0,
Castillo de Sajazarra,42,4.5,
Valdezcaray,161,3.5,
Monastery of Valvanera,122,4.0,
Miguel Merino Winery,63,5.0,
Museo Wurth La Rioja,72,4.5,
Cafe Luz,21,3.5,Bars & Clubs
Capitan Haddock Cafe & Parque Infantil,5,4.5,Bars & Clubs
