Mes;gopph_TOTAL;gopph_Logroño y Alrededores ;gopph_plaza_Resto municipios;gopph_finde_TOTAL;gopph_Logroño y Alrededores _finde ;gopph_Resto municipios_finde;goppa_TOTAL;goppa_Logroño y Alrededores ;goppa_Resto municipios;goppa_finde_TOTAL;goppa_Logroño y Alrededores _finde ;goppa_Resto municipios_finde;gopptr_TOTAL;gopptr_Logroño y Alrededores ;gopptr_Resto municipios;gopptr_finde_TOTAL;gopptr_Logroño y Alrededores _finde ;gopptr_Resto municipios_finde;goppc_TOTAL;goppc_Logroño y Alrededores ;goppc_plaza_Resto municipios;goppc_finde_TOTAL;goppc_Logroño y Alrededores _finde ;goppc_Resto municipios_finde
2021M07;39,09;42,85;36,51;52,35;56,61;36,95;13,77;11,39;14,38;26,51;20,76;28,07;29,55;30,33;29,48;51,15;68,39;44,14;66,20;73,21;62,30;45,06;19,71;27,38
2021M06;27,43;30,60;31,18;39,08;40,09;46,27;9,08;9,87;8,34;16,40;11,63;17,75;16,26;22,55;15,38;32,77;46,33;30,85;69,64;73,96;66,99;69,79;28,56;41,23
2021M05;21,02;30,55;19,46;29,61;49,70;23,23;5,31;5,22;5,06;9,09;5,87;10,66;7,75;14,24;6,87;15,12;18,10;14,68;61,13;74,35;57,91;61,71;18,90;42,81
2021M04;13,37;17,86;12,37;10,83;14,32;10,91;5,29;7,73;3,74;8,73;6,87;9,10;6,68;12,95;5,83;10,98;13,10;10,67;57,35;54,68;59,18;57,20;14,16;45,90
2021M03;14,28;20,35;12,24;12,79;17,62;12,54;4,86;8,06;2,05;5,58;7,91;3,29;3,07;5,48;2,75;5,28;6,67;5,04;59,44;74,99;55,63;64,25;12,91;53,82
2021M02;10,32;12,83;11,81;5,47;8,15;3,22;3,78;8,40;2,07;4,88;9,83;3,22;2,54;4,20;2,34;1,57;;1,70;65,40;69,66;64,11;71,46;21,52;54,06
2021M01;7,79;12,08;4,66;5,23;9,89;5,24;2,99;7,71;0,82;2,39;6,69;0,43;1,73;1,74;1,71;0,79;;0,89;63,36;67,52;62,09;62,36;19,79;46,36
2020M12;10,01;14,71;8,32;7,94;13,37;5,42;7,72;11,77;6,30;13,93;13,62;14,00;5,11;9,91;4,59;5,71;8,08;5,44;62,42;119,17;39,46;64,74;19,68;45,06
2020M11;10,23;12,58;11,15;5,60;8,44;5,47;9,72;10,17;9,50;17,93;14,59;19,11;3,80;14,73;2,73;2,88;1,84;2,95;;;;;;
2020M10;17,68;23,98;15,11;19,07;27,84;10,94;28,37;10,13;35,52;32,28;13,02;39,82;8,19;23,64;6,17;11,48;7,85;11,92;53,70;86,34;47,58;46,56;;46,56
2020M09;23,71;28,47;22,81;30,37;34,91;30,70;14,42;5,05;17,68;23,15;6,20;29,04;10,08;22,05;8,67;19,86;30,59;18,42;61,30;77,06;57,17;58,17;18,60;43,32
2020M08;39,00;44,67;39,89;43,09;59,52;34,85;4,69;2,55;6,53;7,02;4,78;9,42;41,40;36,03;41,49;56,58;63,02;55,41;61,73;74,53;57,84;58,89;25,59;36,55
2020M07;31,60;37,26;30,10;30,34;44,40;23,66;2,17;5,29;0,54;1,16;2,14;0,61;23,41;36,46;21,94;46,34;80,96;42,37;72,21;74,47;71,65;59,23;12,24;48,27
2020M06;14,30;23,41;13,94;10,40;16,01;10,79;7,08;1,92;9,69;8,76;4,96;10,54;8,74;20,16;7,36;17,58;30,07;15,97;60,66;74,35;57,30;61,62;18,94;46,33
